"ind_date_anchor","ind_obs_note","ind_place","ind_num_Death: Overdose Death","ind_num_Death: Illicit Opioid Overdose","ind_num_CSRS: Patients Receiving Buprenorphine","ind_num_CSRS: Patients Receiving Opioids","ind_num_DMH: Treatment Services","ind_num_DSS: Foster Care due to Parental SU","ind_num_ED Visits: Overdose ED Visit","ind_denom_Death: Overdose Death","ind_denom_Death: Illicit Opioid Overdose","ind_denom_CSRS: Patients Receiving Buprenorphine","ind_denom_CSRS: Patients Receiving Opioids","ind_denom_DMH: Treatment Services","ind_denom_DSS: Foster Care due to Parental SU","ind_denom_ED Visits: Overdose ED Visit","ind_rate_Death: Overdose Death","ind_rate_Death: Illicit Opioid Overdose","ind_rate_CSRS: Patients Receiving Buprenorphine","ind_rate_CSRS: Patients Receiving Opioids","ind_rate_DMH: Treatment Services","ind_rate_DSS: Foster Care due to Parental SU","ind_rate_ED Visits: Overdose ED Visit"
"2011",NA,"Tyrrell",1,0,NA,NA,NA,NA,NA,4337,1,NA,NA,NA,NA,NA,23.1,0,NA,NA,NA,NA,NA
"2011",NA,"Union",8,0,NA,NA,NA,NA,NA,204888,8,NA,NA,NA,NA,NA,3.9,0,NA,NA,NA,NA,NA
"2011",NA,"Vance",4,1,NA,NA,NA,NA,NA,45288,4,NA,NA,NA,NA,NA,8.8,25,NA,NA,NA,NA,NA
"2011",NA,"Wake",58,5,NA,NA,NA,NA,NA,928787,58,NA,NA,NA,NA,NA,6.2,8.620689655,NA,NA,NA,NA,NA
"2011",NA,"Warren",0,0,NA,NA,NA,NA,NA,20998,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"2011",NA,"Washington",1,0,NA,NA,NA,NA,NA,12904,1,NA,NA,NA,NA,NA,7.7,0,NA,NA,NA,NA,NA
"2011",NA,"Watauga",7,1,NA,NA,NA,NA,NA,51626,7,NA,NA,NA,NA,NA,13.6,14.285714286,NA,NA,NA,NA,NA
"2011",NA,"Wayne",15,3,NA,NA,NA,NA,NA,124038,15,NA,NA,NA,NA,NA,12.1,20,NA,NA,NA,NA,NA
"2011",NA,"Wilkes",10,3,NA,NA,NA,NA,NA,68948,10,NA,NA,NA,NA,NA,14.5,30,NA,NA,NA,NA,NA
"2011",NA,"Wilson",9,0,NA,NA,NA,NA,NA,81155,9,NA,NA,NA,NA,NA,11.1,0,NA,NA,NA,NA,NA
"2011",NA,"Yadkin",7,0,NA,NA,NA,NA,NA,38342,7,NA,NA,NA,NA,NA,18.3,0,NA,NA,NA,NA,NA
"2011",NA,"Yancey",6,0,NA,NA,NA,NA,NA,17690,6,NA,NA,NA,NA,NA,33.9,0,NA,NA,NA,NA,NA
"2012",NA,"Alamance",22,1,NA,NA,NA,NA,NA,153265,22,NA,NA,NA,NA,NA,14.4,4.545454545,NA,NA,NA,NA,NA
"2012",NA,"Alexander",3,0,NA,NA,NA,NA,NA,36922,3,NA,NA,NA,NA,NA,8.1,0,NA,NA,NA,NA,NA
"2012",NA,"Alleghany",3,2,NA,NA,NA,NA,NA,10943,3,NA,NA,NA,NA,NA,27.4,66.666666667,NA,NA,NA,NA,NA
"2012",NA,"Anson",2,0,NA,NA,NA,NA,NA,26309,2,NA,NA,NA,NA,NA,7.6,0,NA,NA,NA,NA,NA
"2012",NA,"Ashe",5,1,NA,NA,NA,NA,NA,26924,5,NA,NA,NA,NA,NA,18.6,20,NA,NA,NA,NA,NA
"2012",NA,"Avery",4,2,NA,NA,NA,NA,NA,17611,4,NA,NA,NA,NA,NA,22.7,50,NA,NA,NA,NA,NA
"2012",NA,"Beaufort",7,1,NA,NA,NA,NA,NA,47431,7,NA,NA,NA,NA,NA,14.8,14.285714286,NA,NA,NA,NA,NA
"2012",NA,"Bertie",1,0,NA,NA,NA,NA,NA,20494,1,NA,NA,NA,NA,NA,4.9,0,NA,NA,NA,NA,NA
"2012",NA,"Bladen",7,2,NA,NA,NA,NA,NA,34807,7,NA,NA,NA,NA,NA,20.1,28.571428571,NA,NA,NA,NA,NA
"2012",NA,"Brunswick",33,4,NA,NA,NA,NA,NA,112013,33,NA,NA,NA,NA,NA,29.5,12.121212121,NA,NA,NA,NA,NA
"2012",NA,"Buncombe",30,4,NA,NA,NA,NA,NA,243655,30,NA,NA,NA,NA,NA,12.3,13.333333333,NA,NA,NA,NA,NA
"2012",NA,"Burke",25,8,NA,NA,NA,NA,NA,89974,25,NA,NA,NA,NA,NA,27.8,32,NA,NA,NA,NA,NA
